idLigneBonCommandeSortie,fk_BonCommandeSortie,Article,designation,quantiteProduitCommande,priorite,termine,source
366390,BC-2844,BC3706,Barre céréalière Raisin amande,108,1,0,groupe_ethique_et_sante
366391,BC-2844,PJ00083,Barre crisp caramel,112,1,0,groupe_ethique_et_sante
366392,BC-2844,PJ00236,Barre crisp chocolat 35g,200,1,0,groupe_ethique_et_sante
366393,BC-2844,PJ00237,Barre crisp coco 35g,50,1,0,groupe_ethique_et_sante
366394,BC-2844,PJ00241,Barre crisp fruits rouges 35g,120,1,0,groupe_ethique_et_sante
366395,BC-2844,PJ00178,Biscuit cacao pépite chocolat,360,1,0,groupe_ethique_et_sante
366396,BC-2844,10357,Biscuits au chocolat,1440,1,0,groupe_ethique_et_sante
366397,BC-2844,13129,Biscuits fruits rouges,720,1,0,groupe_ethique_et_sante
366398,BC-2844,08730,Biscuits orange,432,1,0,groupe_ethique_et_sante
366399,BC-2844,PJ00153,BOUTEILLE BOISSON FRAMBOISE,36,1,0,groupe_ethique_et_sante
366400,BC-2844,PJ00157,BOUTEILLE BOISSON PÊCHE-PASSION,36,1,0,groupe_ethique_et_sante
366401,BC-2844,PJ00129,Chips Barbecue,80,1,0,groupe_ethique_et_sante
366402,BC-2844,PJ00130,Chips oignon,160,1,0,groupe_ethique_et_sante
366403,BC-2844,CNCIRCU1,Confort Circulatoire (60),30,1,0,groupe_ethique_et_sante
366404,BC-2844,12773,Desserts entremet vanille,150,1,0,groupe_ethique_et_sante
366405,BC-2844,ENxxx,Entremet délice aux fraises,150,1,0,groupe_ethique_et_sante
366406,BC-2844,BG418,Entremets banane,100,1,0,groupe_ethique_et_sante
366407,BC-2844,BG207,Entremets praline,100,1,0,groupe_ethique_et_sante
366408,BC-2844,BG427,Flan Patissier cafe,300,1,0,groupe_ethique_et_sante
366409,BC-2844,BG428,Flan Patissier caramel,200,1,0,groupe_ethique_et_sante
366410,BC-2844,BG426,Flan Patissier chocolat,200,1,0,groupe_ethique_et_sante
366411,BC-2844,BG434,Flan Patissier citron,100,1,0,groupe_ethique_et_sante
366412,BC-2844,BG424,Flan Patissier pistache,200,1,0,groupe_ethique_et_sante
366413,BC-2844,BG425,Flan Patissier vanille,200,1,0,groupe_ethique_et_sante
366414,BC-2844,CNMGF2,M.G.F.2,30,1,0,groupe_ethique_et_sante
366415,BC-2844,CNOMEGA,OMEGA 3,30,1,0,groupe_ethique_et_sante
366416,BC-2844,PJ00131,PAIN CEREALES (2 tranches),1008,1,0,groupe_ethique_et_sante
366417,BC-2844,FS171RN310302,Pain de mie,24,1,0,groupe_ethique_et_sante
366418,BC-2844,PC01692,Stick draineur thé fruits rouges  7g,600,1,0,groupe_ethique_et_sante
366419,BC-2844,PC01693,Stick draineur thé pêche 7g,300,1,0,groupe_ethique_et_sante
366420,BC-2844,BG602,Supreme de volaille,100,1,0,groupe_ethique_et_sante
374280,BC-2845,CNSTRESS2,Anti stress 2,30,1,0,groupe_ethique_et_sante
374281,BC-2845,11786,Barre (Cacao)chocolat ronde,378,1,0,groupe_ethique_et_sante
374282,BC-2845,BC3707,Barre céréalière Fruits rouges,108,1,0,groupe_ethique_et_sante
374283,BC-2845,BC3706,Barre céréalière Raisin amande,108,1,0,groupe_ethique_et_sante
374284,BC-2845,PJ00083,Barre crisp caramel,168,1,0,groupe_ethique_et_sante
374285,BC-2845,PJ00236,Barre crisp chocolat 35g,150,1,0,groupe_ethique_et_sante
374286,BC-2845,PJ00237,Barre crisp coco 35g,150,1,0,groupe_ethique_et_sante
374287,BC-2845,11787,Barre noix de coco (ronde),126,1,0,groupe_ethique_et_sante
374288,BC-2845,BC3719,Barre Praline,150,1,0,groupe_ethique_et_sante
374289,BC-2845,BC3704,barre Vanille Amande (low sugar),300,1,0,groupe_ethique_et_sante
374290,BC-2845,13129,Biscuits fruits rouges,432,1,0,groupe_ethique_et_sante
374291,BC-2845,08730,Biscuits orange,432,1,0,groupe_ethique_et_sante
374292,BC-2845,12481,Boisson chocolat intense,150,1,0,groupe_ethique_et_sante
374293,BC-2845,PJ00283,Bouchées chocolat noir,100,1,0,groupe_ethique_et_sante
374294,BC-2845,PJ00288,Bouteille boisson café,36,1,0,groupe_ethique_et_sante
374295,BC-2845,PJ00153,BOUTEILLE BOISSON FRAMBOISE,120,1,0,groupe_ethique_et_sante
374296,BC-2845,PJ00157,BOUTEILLE BOISSON PÊCHE-PASSION,96,1,0,groupe_ethique_et_sante
374297,BC-2845,PJ00287,Bouteille boisson vanille,24,1,0,groupe_ethique_et_sante
374298,BC-2845,FS15MO341,Bulles BARBECUE,168,1,0,groupe_ethique_et_sante
374299,BC-2845,13588,Cappuccino,150,1,0,groupe_ethique_et_sante
374300,BC-2845,BG349,Cereales chocolat,100,1,0,groupe_ethique_et_sante
374301,BC-2845,BG355,Cereales pomme cannelle,100,1,0,groupe_ethique_et_sante
374302,BC-2845,PJ00130,Chips oignon,160,1,0,groupe_ethique_et_sante
374303,BC-2845,PJ00292,Chorizo,100,1,0,groupe_ethique_et_sante
374304,BC-2845,BG309,Crepes orange,100,1,0,groupe_ethique_et_sante
374305,BC-2845,PB01020,Dessert choco caramel pépite sans gluten,150,1,0,groupe_ethique_et_sante
374306,BC-2845,12771,Desserts chocolat,150,1,0,groupe_ethique_et_sante
374307,BC-2845,12773,Desserts entremet vanille,150,1,0,groupe_ethique_et_sante
374308,BC-2845,BG435,Entremets poire belle hel,100,1,0,groupe_ethique_et_sante
374309,BC-2845,BG504,Entremets pomme caramel,100,1,0,groupe_ethique_et_sante
374310,BC-2845,BG428,Flan Patissier caramel,100,1,0,groupe_ethique_et_sante
374311,BC-2845,BG434,Flan Patissier citron,100,1,0,groupe_ethique_et_sante
374312,BC-2845,FS17,Pain de mie (2 tranches),750,1,0,groupe_ethique_et_sante
374313,BC-2845,PJ00147,Pate Fusilli,140,1,0,groupe_ethique_et_sante
374314,BC-2845,SRNPC1,Sacs grand format,250,1,0,groupe_ethique_et_sante
